texto,categoria,criterio,formato
Quiero un reporte de operador en proceso en word,usuarios,pendientes,word
Muéstrame un reporte de políticas en visualizar,politicas,todos,pantalla
Muéstrame un reporte de operador en mostrar,usuarios,todos,pantalla
CREAR REPORTE DE REQUISITOS EN DOCUMENTO EDITABLE,documentos,todos,word
Quisiera ver la lista de diagramas cualquiera y bajarla en en excel,politicas,todos,excel
¿cómo puedo ver el reporte de archivo en curso en pantalla?,documentos,pendientes,pantalla
¿es posible obtener los archivos cualquiera en archivo pdf?,documentos,todos,pdf
Obtener reporte de solicitante en excel,clientes,todos,excel
reporte procesos vista previa,tramites,todos,pantalla
En vista previa quiero el reporte de documento atrasado.,documentos,atrasados,pantalla
Necesito exportar a docx el listado de procesos aprobados,tramites,completados,word
Muéstrame un reporte de flujos de trabajo en xlsx,tramites,todos,excel
Datos clientes aprobado hoja de cálculo,clientes,completados,excel
Quisiera ver la lista de documento general y bajarla en consola,documentos,todos,pantalla
Dame los usuarios finales hechos en formato formato portable,clientes,completados,pdf
Por favor genera un reporte de archivo resuelto en hoja de cálculo,documentos,completados,excel
Listado personas demorados word,clientes,atrasados,word
Listado empleados aprobado hoja excel,usuarios,completados,excel
generar un reporte de adjuntos en visualizar,documentos,todos,pantalla
Quiero un reporte de usuario general en en word,usuarios,todos,word
POR FAVOR GENERA UN REPORTE DE CASOS GLOBAL EN WORD,tramites,todos,word
Quiero un reporte de papeles en formato json,documentos,todos,pantalla
Dame los clientes en formato docx,clientes,todos,word
Crear reporte de operadores terminados en formato pdf.,usuarios,completados,pdf
exportar a formato pdf los fichero demorado,documentos,atrasados,pdf
Podrías generarme un reporte de documentos terminados en hoja excel,documentos,completados,excel
¿cómo puedo ver el reporte de procesos activos en archivo pdf?,tramites,pendientes,pdf
Descargar reporte de flujos de trabajo con retraso en formato json,tramites,atrasados,pantalla
Generar un reporte de políticas de negocio en vista previa,politicas,todos,pantalla
Lista trámites hoja de cálculo,tramites,todos,excel
Exportar a formato portable los políticas cualquiera,politicas,todos,pdf
Reporte solicitantes global en pdf,clientes,todos,pdf
lista trámites ver,tramites,todos,pantalla
Datos ciudadanos completados json,clientes,completados,pantalla
Lista adjuntos con retraso word,documentos,atrasados,word
Datos políticas de negocio demorados documento word,politicas,atrasados,word
Exportar a excel los personas,clientes,todos,excel
Dame los funcionarios demorados en formato archivo pdf,usuarios,atrasados,pdf
Quisiera ver la lista de cliente cualquiera y bajarla en word,clientes,todos,word
Generar un reporte de operadores con demora en excel,usuarios,atrasados,excel
Necesito el reporte de usuarios en formato portable,usuarios,todos,pdf
Muéstrame un reporte de usuarios en pantalla,usuarios,todos,pantalla
En en pdf quiero el reporte de solicitante completados,clientes,completados,pdf
Generar un reporte de trámite en archivo pdf,tramites,todos,pdf
Crear reporte de personal en archivo pdf,usuarios,todos,pdf
En formato formato pdf dame los archivos activo,documentos,pendientes,pdf
Podrías generarme un reporte de personas completo en en pantalla,clientes,todos,pantalla
dame los políticas en formato en word,politicas,todos,word
Dame los solicitudes en formato pantalla,tramites,todos,pantalla
Obtener reporte de diagramas pendiente en en pdf,politicas,pendientes,pdf
Quiero un reporte de solicitantes en en word.,clientes,todos,word
Hazme un reporte de usuario tardíos en formato word,usuarios,atrasados,word
generar un reporte de archivos en en pdf.,documentos,todos,pdf
NECESITO EL REPORTE DE POLÍTICA DE NEGOCIO EN WORD,politicas,todos,word
Muéstrame un reporte de funcionario lista completa en xlsx,usuarios,todos,excel
Podrías generarme un reporte de política de negocio con demora en en word,politicas,atrasados,word
Necesito exportar a formato portable el listado de requisitos completo,documentos,todos,pdf
Dame los papeles en formato documento word,documentos,todos,word
Obtener reporte de ficheros en formato excel,documentos,todos,excel
Dame los peticiones en formato en pdf,tramites,todos,pdf
Generar un reporte de documentos en word,documentos,todos,word
podrías generarme un reporte de peticiones hechos en en pdf,tramites,completados,pdf
Reporte documentos todas pantalla,documentos,todos,pantalla
Dame los cliente fuera de plazo en formato word,clientes,atrasados,word
necesito el reporte de personas en hoja de cálculo,clientes,todos,excel
Crear reporte de solicitudes en archivo pdf,tramites,todos,pdf
Necesito exportar a en pdf el listado de empleado completado,usuarios,completados,pdf
En formato en pdf dame los empleado procesando,usuarios,pendientes,pdf
descargar en en pdf el reporte de papeles pendientes.,documentos,pendientes,pdf
Listado empleados todos mostrar,usuarios,todos,pantalla
¿es posible obtener los flujos de trabajo aprobado en consola?,tramites,completados,pantalla
En formato documento pdf dame los diagramas de actividad completado.,politicas,completados,pdf
Quisiera ver la lista de operadores finalizados y bajarla en vista previa,usuarios,completados,pantalla
Generar un reporte de clientes en formato portable,clientes,todos,pdf
Sácame un reporte de archivos todas en formato pdf.,documentos,todos,pdf
Muéstrame un reporte de fichero sin filtros en documento editable,documentos,todos,word
Hazme un reporte de archivos vencido en archivo pdf,documentos,atrasados,pdf
Muéstrame un reporte de archivo completado en ver,documentos,completados,pantalla
Datos personal resueltos en pdf,usuarios,completados,pdf
descargar reporte de funcionario en formato pdf,usuarios,todos,pdf
Obtener reporte de políticas en documento pdf,politicas,todos,pdf
Por favor genera un reporte de operador tardíos en en pantalla,usuarios,atrasados,pantalla
Datos documento cualquiera formato pdf,documentos,todos,pdf
Lista reglas de negocio formato portable,politicas,todos,pdf
quiero un reporte de fichero pendientes en hoja excel,documentos,pendientes,excel
Datos papeles cualquiera en pdf,documentos,todos,pdf
Muéstrame un reporte de flujos de trabajo en en excel,tramites,todos,excel
Descargar reporte de empleado cualquiera en archivo excel,usuarios,todos,excel
Necesito exportar a en word el listado de flujos de trabajo con demora,tramites,atrasados,word
Descargar reporte de operador en en excel.,usuarios,todos,excel
Dame los cliente completo en formato excel,clientes,todos,excel
Sácame un reporte de operadores demorados en en pdf,usuarios,atrasados,pdf
Dame los documento en formato archivo word,documentos,todos,word
Lista flujos de trabajo en pdf,tramites,todos,pdf
¿es posible obtener los políticas de negocio demorados en formato portable?,politicas,atrasados,pdf
Datos archivos aprobados archivo word,documentos,completados,word
Crear reporte de políticas de negocio terminado en en pantalla,politicas,completados,pantalla
Dame los casos general en formato formato word,tramites,todos,word
Quiero un reporte de clientes pendiente en xlsx,clientes,pendientes,excel
Lista política de negocio formato pdf,politicas,todos,pdf
Reporte adjuntos completo formato word,documentos,todos,word
Obtener reporte de archivo en documento word,documentos,todos,word
listado peticiones completo ver.,tramites,todos,pantalla
Lista cliente finalizado formato json,clientes,completados,pantalla
quiero exportar en xlsx las políticas de negocio procesando,politicas,pendientes,excel
Descargar en en excel el reporte de requisitos vencido,documentos,atrasados,excel
Necesito el reporte de trámite en curso en formato pdf,tramites,pendientes,pdf
Descargar reporte de empleados con demora en archivo pdf,usuarios,atrasados,pdf
Crear reporte de diagramas total en xlsx,politicas,todos,excel
Descargar en documento editable el reporte de solicitudes hechos,tramites,completados,word
En formato pdf dame los diagramas de actividad hechos!,politicas,completados,pdf
Datos ciudadanos activo en pantalla,clientes,pendientes,pantalla
Generar un reporte de papeles en formato pdf,documentos,todos,pdf
Por favor genera un reporte de solicitudes finalizado en docx,tramites,completados,word
Dame los política en formato archivo excel,politicas,todos,excel
Exportar a hoja excel los política de negocio,politicas,todos,excel
Quiero un reporte de diagramas en archivo pdf,politicas,todos,pdf
EXPORTAR A FORMATO WORD LOS PETICIONES TODOS,tramites,todos,word
En formato consola dame los trámites fuera de plazo,tramites,atrasados,pantalla
Obtener reporte de solicitante aprobados en consola,clientes,completados,pantalla
Por favor genera un reporte de personal vencidos en archivo excel.,usuarios,atrasados,excel
Reporte casos consola,tramites,todos,pantalla
Necesito exportar a pdf el listado de requisitos con demora.,documentos,atrasados,pdf
Quiero exportar en en excel las políticas de negocio vencidos,politicas,atrasados,excel
Podrías generarme un reporte de empleado activos en documento word,usuarios,pendientes,word
Hazme un reporte de diagramas pendientes en en pantalla,politicas,pendientes,pantalla
Podrías generarme un reporte de cliente activos en json,clientes,pendientes,pantalla
¿es posible obtener los política activo en mostrar?,politicas,pendientes,pantalla
Necesito el reporte de requisitos con demora en archivo word,documentos,atrasados,word
Generar un reporte de política sin terminar en json,politicas,pendientes,pantalla
¿cómo puedo ver el reporte de solicitante activos en archivo excel?,clientes,pendientes,excel
¿cómo puedo ver el reporte de operador completado en vista previa?,usuarios,completados,pantalla
Quiero un reporte de ficheros en archivo pdf,documentos,todos,pdf
Descargar reporte de ficheros en formato word,documentos,todos,word
Muéstrame un reporte de políticas de negocio cualquiera en excel,politicas,todos,excel
Muéstrame un reporte de documentos en archivo excel,documentos,todos,excel
quiero un reporte de clientes en archivo pdf,clientes,todos,pdf
Podrías generarme un reporte de trámites todas en archivo excel,tramites,todos,excel
Necesito exportar a archivo word el listado de solicitante vencido,clientes,atrasados,word
OBTENER REPORTE DE FLUJOS DE TRABAJO EN FORMATO JSON,tramites,todos,pantalla
Exportar a formato pdf los usuarios finales completados,clientes,completados,pdf
Exportar a pdf los trámite terminado,tramites,completados,pdf
Hazme un reporte de solicitudes finalizado en archivo excel,tramites,completados,excel
Muéstrame un reporte de trámites aprobados en formato pdf,tramites,completados,pdf
Quisiera ver la lista de operador vencido y bajarla en docx,usuarios,atrasados,word
muéstrame un reporte de ciudadanos demorado en formato word,clientes,atrasados,word
Datos clientes completado word,clientes,completados,word
Quisiera ver la lista de clientes todos y bajarla en visualizar,clientes,todos,pantalla
Necesito exportar a formato json el listado de flujos de trabajo completado,tramites,completados,pantalla
Necesito el reporte de funcionarios en ver,usuarios,todos,pantalla
datos papeles todas xlsx,documentos,todos,excel
¿cómo puedo ver el reporte de operadores lista completa en documento word?,usuarios,todos,word
Necesito exportar a en word el listado de personas hechos,clientes,completados,word
Exportar a formato excel los políticas de negocio en proceso,politicas,pendientes,excel
Reporte personas total xlsx,clientes,todos,excel
Sácame un reporte de diagramas de actividad cualquiera en pantalla,politicas,todos,pantalla
Generar un reporte de trámite en archivo word,tramites,todos,word
Quiero exportar en archivo excel las solicitudes resueltos,tramites,completados,excel
Listado políticas de negocio en proceso word,politicas,pendientes,word
Exportar a documento editable los fichero aprobado.,documentos,completados,word
crear reporte de solicitantes completados en formato portable,clientes,completados,pdf
Muéstrame un reporte de fichero en en excel,documentos,todos,excel
Necesito el reporte de personas en documento pdf,clientes,todos,pdf
muéstrame un reporte de procesos en xlsx,tramites,todos,excel
Muéstrame un reporte de usuario en en pantalla,usuarios,todos,pantalla
datos reglas atrasado xlsx,politicas,atrasados,excel
Reporte diagramas de actividad vista previa,politicas,todos,pantalla
Dame los cliente en formato hoja excel,clientes,todos,excel
Dame los requisitos en formato consola.,documentos,todos,pantalla
Listado ficheros finalizado archivo pdf,documentos,completados,pdf
REPORTE REGLAS DE NEGOCIO EN PDF,politicas,todos,pdf
Reporte solicitantes atrasados en excel,clientes,atrasados,excel
Por favor genera un reporte de requisitos en progreso en archivo word,documentos,pendientes,word
Lista reglas terminados hoja de cálculo,politicas,completados,excel
Por favor genera un reporte de ficheros lista completa en formato portable,documentos,todos,pdf
Quiero un reporte de usuarios finales en formato excel,clientes,todos,excel
Generar un reporte de solicitante aprobado en documento word.,clientes,completados,word
Exportar a documento pdf los ciudadanos resueltos,clientes,completados,pdf
dame los operador terminado en formato formato excel!,usuarios,completados,excel
Por favor genera un reporte de documentos global en mostrar,documentos,todos,pantalla
en formato word quiero el reporte de trámites terminado,tramites,completados,word
muéstrame un reporte de clientes demorado en documento pdf!,clientes,atrasados,pdf
Quiero exportar en visualizar las funcionarios vencido,usuarios,atrasados,pantalla
Exportar a visualizar los funcionarios,usuarios,todos,pantalla
descargar reporte de papeles activos en visualizar,documentos,pendientes,pantalla
Obtener reporte de cliente terminados en formato excel,clientes,completados,excel
Descargar en archivo excel el reporte de solicitudes resuelto.,tramites,completados,excel
Muéstrame un reporte de documento general en vista previa,documentos,todos,pantalla
Obtener reporte de fichero en ver.,documentos,todos,pantalla
Generar un reporte de trámite en word,tramites,todos,word
Obtener reporte de solicitantes atrasado en hoja de cálculo,clientes,atrasados,excel
necesito exportar a formato word el listado de personas vencidos,clientes,atrasados,word
Por favor genera un reporte de política de negocio atrasado en word,politicas,atrasados,word
CREAR REPORTE DE FUNCIONARIOS ACTIVO EN FORMATO WORD,usuarios,pendientes,word
sácame un reporte de flujos de trabajo aprobado en archivo pdf,tramites,completados,pdf
NECESITO EL REPORTE DE CASOS TARDÍOS EN EXCEL.,tramites,atrasados,excel
Quiero un reporte de funcionarios en archivo excel,usuarios,todos,excel
En formato pdf dame los solicitudes hechos.,tramites,completados,pdf
¿cómo puedo ver el reporte de ciudadanos fuera de plazo en json?,clientes,atrasados,pantalla
Reporte empleado mostrar.,usuarios,todos,pantalla
GENERAR UN REPORTE DE USUARIOS FINALES CON RETRASO EN FORMATO EXCEL,clientes,atrasados,excel
Descargar reporte de personal en en excel,usuarios,todos,excel
Obtener reporte de casos sin terminar en vista previa,tramites,pendientes,pantalla
Reporte política de negocio demorado json,politicas,atrasados,pantalla
descargar en visualizar el reporte de empleados finalizado,usuarios,completados,pantalla
Quisiera ver la lista de solicitante todas y bajarla en archivo word,clientes,todos,word
Necesito el reporte de peticiones fuera de plazo en hoja excel,tramites,atrasados,excel
Quiero un reporte de empleados total en formato pdf,usuarios,todos,pdf
generar un reporte de peticiones lista completa en pdf,tramites,todos,pdf
muéstrame un reporte de usuarios finales resuelto en en pdf,clientes,completados,pdf
Dame los documento atrasados en formato en word,documentos,atrasados,word
En formato mostrar dame los trámite completo,tramites,todos,pantalla
obtener reporte de diagramas en archivo word,politicas,todos,word
Reporte diagramas de actividad documento pdf,politicas,todos,pdf
lista empleado activos pdf,usuarios,pendientes,pdf
Reporte archivo en pdf.,documentos,todos,pdf
¿cómo puedo ver el reporte de archivos lista completa en docx?!,documentos,todos,word
En formato hoja de cálculo dame los operador procesando,usuarios,pendientes,excel
¿es posible obtener los reglas general en formato pdf?,politicas,todos,pdf
Exportar a hoja excel los peticiones,tramites,todos,excel
En docx quiero el reporte de solicitantes con retraso,clientes,atrasados,word
Datos funcionario en progreso en word!,usuarios,pendientes,word
Quiero exportar en archivo pdf las política de negocio completo,politicas,todos,pdf
Obtener reporte de procesos en progreso en formato word,tramites,pendientes,word
Reporte trámite completado hoja de cálculo.,tramites,completados,excel
Quisiera ver la lista de solicitante sin filtros y bajarla en en excel,clientes,todos,excel
Quiero un reporte de documento pendientes en json.,documentos,pendientes,pantalla
¿es posible obtener los documento cualquiera en excel?!,documentos,todos,excel
Exportar a hoja de cálculo los documentos todas,documentos,todos,excel
Dame los reglas de negocio finalizado en formato word,politicas,completados,word
descargar reporte de procesos sin filtros en formato pdf,tramites,todos,pdf
Obtener reporte de flujos de trabajo aprobado en json,tramites,completados,pantalla
Reporte ficheros sin filtros documento pdf.,documentos,todos,pdf
Quiero exportar en en word las peticiones tardíos,tramites,atrasados,word
Generar un reporte de diagramas en excel,politicas,todos,excel
Exportar a formato pdf los diagramas en progreso,politicas,pendientes,pdf
muéstrame un reporte de ciudadanos activo en hoja de cálculo,clientes,pendientes,excel
podrías generarme un reporte de diagramas de actividad todas en documento pdf,politicas,todos,pdf
Quiero un reporte de peticiones en documento word,tramites,todos,word
Necesito el reporte de archivos resuelto en consola!,documentos,completados,pantalla
Datos clientes terminado documento editable,clientes,completados,word
Quiero un reporte de papeles en documento word,documentos,todos,word
en archivo word quiero el reporte de ciudadanos todos,clientes,todos,word
Dame los política demorado en formato hoja excel,politicas,atrasados,excel
Quiero un reporte de personal aprobados en visualizar,usuarios,completados,pantalla
Obtener reporte de cliente terminados en formato word,clientes,completados,word
Quiero un reporte de archivo en formato excel,documentos,todos,excel
Reporte usuarios finales pendientes xlsx,clientes,pendientes,excel
Exportar a json los empleado sin filtros,usuarios,todos,pantalla
Listado solicitudes con demora archivo word.,tramites,atrasados,word
Datos empleados hechos formato word,usuarios,completados,word
Descargar reporte de política de negocio en formato word,politicas,todos,word
Reporte casos formato word,tramites,todos,word
Por favor genera un reporte de empleados pendiente en en excel,usuarios,pendientes,excel
Datos empleado demorado formato excel,usuarios,atrasados,excel
Obtener reporte de clientes en visualizar,clientes,todos,pantalla
¿es posible obtener los funcionarios lista completa en formato pdf?,usuarios,todos,pdf
En formato formato portable dame los operador sin terminar,usuarios,pendientes,pdf
Necesito el reporte de documento en consola!,documentos,todos,pantalla
Quiero un reporte de fichero resueltos en formato pdf,documentos,completados,pdf
Datos usuario aprobados archivo excel,usuarios,completados,excel
Quisiera ver la lista de política de negocio terminado y bajarla en vista previa,politicas,completados,pantalla
Quiero un reporte de casos en progreso en xlsx,tramites,pendientes,excel
DAME LOS PETICIONES CUALQUIERA EN FORMATO ARCHIVO WORD,tramites,todos,word
Lista flujos de trabajo visualizar,tramites,todos,pantalla
Lista casos completado formato json,tramites,completados,pantalla
Descargar en en word el reporte de políticas atrasado,politicas,atrasados,word
Descargar reporte de funcionarios en archivo word,usuarios,todos,word
descargar reporte de peticiones en formato portable,tramites,todos,pdf
muéstrame un reporte de flujos de trabajo en hoja de cálculo,tramites,todos,excel
Generar un reporte de usuario completado en pantalla,usuarios,completados,pantalla
Crear reporte de solicitantes terminado en formato pdf,clientes,completados,pdf
Dame los clientes lista completa en formato formato excel,clientes,todos,excel
Quisiera ver la lista de usuarios finales global y bajarla en hoja excel,clientes,todos,excel
necesito el reporte de documento global en vista previa.,documentos,todos,pantalla
Necesito exportar a formato word el listado de políticas en curso,politicas,pendientes,word
Descargar reporte de política de negocio en documento pdf,politicas,todos,pdf
necesito exportar a en excel el listado de personal vencidos,usuarios,atrasados,excel
quiero un reporte de clientes sin filtros en formato word!,clientes,todos,word
¿es posible obtener los casos hechos en en excel?,tramites,completados,excel
quiero exportar en word las diagramas todas,politicas,todos,word
Por favor genera un reporte de políticas de negocio finalizados en documento pdf,politicas,completados,pdf
Descargar en documento pdf el reporte de requisitos activos,documentos,pendientes,pdf
POR FAVOR GENERA UN REPORTE DE DIAGRAMAS CON DEMORA EN FORMATO JSON,politicas,atrasados,pantalla
por favor genera un reporte de personas lista completa en formato excel,clientes,todos,excel
Listado solicitantes global hoja de cálculo,clientes,todos,excel
Listado política finalizado docx,politicas,completados,word
Quiero un reporte de fichero en documento pdf,documentos,todos,pdf
Dame los clientes vencidos en formato formato pdf,clientes,atrasados,pdf
reporte usuarios xlsx,usuarios,todos,excel
Dame los política procesando en formato json,politicas,pendientes,pantalla
Dame los empleados en formato archivo pdf,usuarios,todos,pdf
Muéstrame un reporte de reglas de negocio en proceso en xlsx,politicas,pendientes,excel
reporte cliente finalizados archivo word!,clientes,completados,word
quisiera ver la lista de operador con demora y bajarla en archivo word,usuarios,atrasados,word
generar un reporte de diagramas de actividad en archivo excel,politicas,todos,excel
generar un reporte de personal aprobado en archivo excel,usuarios,completados,excel
Hazme un reporte de reglas en curso en pdf.,politicas,pendientes,pdf
Descargar en json el reporte de diagramas completados.,politicas,completados,pantalla
Necesito el reporte de política en formato portable,politicas,todos,pdf
¿es posible obtener los clientes vencido en formato excel?,clientes,atrasados,excel
GENERAR UN REPORTE DE FLUJOS DE TRABAJO EN EN WORD,tramites,todos,word
Descargar reporte de políticas con retraso en archivo pdf,politicas,atrasados,pdf
En vista previa quiero el reporte de ciudadanos todos,clientes,todos,pantalla
SÁCAME UN REPORTE DE REGLAS DE NEGOCIO HECHOS EN HOJA EXCEL,politicas,completados,excel
Datos solicitudes tardíos visualizar,tramites,atrasados,pantalla
Reporte política de negocio activos archivo excel,politicas,pendientes,excel
Descargar reporte de reglas de negocio todas en en pdf,politicas,todos,pdf
Descargar reporte de documento en documento word,documentos,todos,word
¿cómo puedo ver el reporte de diagramas de actividad finalizados en word?,politicas,completados,word
Quisiera ver la lista de operador en proceso y bajarla en en word,usuarios,pendientes,word
Muéstrame un reporte de solicitudes finalizado en hoja de cálculo,tramites,completados,excel
Reporte políticas de negocio hoja de cálculo,politicas,todos,excel
crear reporte de cliente en archivo word.,clientes,todos,word
Podrías generarme un reporte de papeles en progreso en xlsx,documentos,pendientes,excel
Necesito el reporte de solicitantes sin terminar en formato pdf,clientes,pendientes,pdf
Exportar a pdf los personas,clientes,todos,pdf
Exportar a visualizar los diagramas de actividad,politicas,todos,pantalla
Dame los usuarios en formato ver,usuarios,todos,pantalla
¿es posible obtener los documento activos en en word?,documentos,pendientes,word
en formato pdf quiero el reporte de archivo todos,documentos,todos,pdf
Quiero un reporte de adjuntos aprobados en archivo excel,documentos,completados,excel
Quiero un reporte de papeles en mostrar,documentos,todos,pantalla
Muéstrame un reporte de reglas aprobado en archivo excel,politicas,completados,excel
Necesito el reporte de políticas lista completa en en excel,politicas,todos,excel
Necesito el reporte de adjuntos vencidos en en pantalla,documentos,atrasados,pantalla
Obtener reporte de solicitante en en pdf.,clientes,todos,pdf
Generar un reporte de política todos en formato word.,politicas,todos,word
Necesito el reporte de fichero en ver,documentos,todos,pantalla
Lista funcionario formato json,usuarios,todos,pantalla
Quiero exportar en visualizar las funcionarios hechos,usuarios,completados,pantalla
Generar un reporte de cliente aprobados en formato portable,clientes,completados,pdf
Necesito el reporte de trámite con retraso en word,tramites,atrasados,word
Descargar en excel el reporte de operador vencido,usuarios,atrasados,excel
Generar un reporte de políticas de negocio sin terminar en xlsx,politicas,pendientes,excel
Muéstrame un reporte de usuarios finales todos en formato excel,clientes,todos,excel
Descargar en archivo word el reporte de reglas de negocio finalizado.,politicas,completados,word
Listado adjuntos todas archivo pdf,documentos,todos,pdf
Necesito exportar a vista previa el listado de diagramas de actividad resuelto,politicas,completados,pantalla
Hazme un reporte de políticas fuera de plazo en visualizar,politicas,atrasados,pantalla
Reporte personal cualquiera word,usuarios,todos,word
Lista procesos sin terminar mostrar,tramites,pendientes,pantalla
Descargar en xlsx el reporte de ficheros activos,documentos,pendientes,excel
Necesito el reporte de solicitudes atrasados en formato json,tramites,atrasados,pantalla
Generar un reporte de política de negocio en json.,politicas,todos,pantalla
En formato documento pdf dame los usuarios finales completo,clientes,todos,pdf
¿cómo puedo ver el reporte de flujos de trabajo con demora en excel?,tramites,atrasados,excel
Necesito el reporte de empleado en en word,usuarios,todos,word
Descargar reporte de funcionarios general en hoja excel,usuarios,todos,excel
Quiero un reporte de papeles en xlsx,documentos,todos,excel
Dame los empleados cualquiera en formato documento editable.,usuarios,todos,word
Sácame un reporte de operador completo en en pdf,usuarios,todos,pdf
Reporte ciudadanos docx,clientes,todos,word
Podrías generarme un reporte de solicitante total en documento pdf,clientes,todos,pdf
Quiero exportar en en pdf las políticas lista completa,politicas,todos,pdf
Dame los ciudadanos en formato formato json.,clientes,todos,pantalla
descargar reporte de archivo finalizados en documento pdf,documentos,completados,pdf
Obtener reporte de solicitantes con demora en formato pdf,clientes,atrasados,pdf
en hoja excel quiero el reporte de funcionarios cualquiera,usuarios,todos,excel
Reporte usuarios finales docx,clientes,todos,word
Quiero exportar en archivo word las reglas sin filtros,politicas,todos,word
LISTADO PERSONAL DEMORADOS EN PDF,usuarios,atrasados,pdf
Quiero exportar en en pdf las ciudadanos aprobados,clientes,completados,pdf
Hazme un reporte de cliente global en hoja excel,clientes,todos,excel
